Task,Trial,Problem,Operation_answer,next_level.thisRepN,next_level.thisTrialN,next_level.thisN,next_level.thisIndex,next_letter.thisRepN,next_letter.thisTrialN,next_letter.thisN,next_letter.thisIndex,repeat_practice.thisRepN,repeat_practice.thisTrialN,repeat_practice.thisN,repeat_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,span_recall_prac.thisRepN,span_recall_prac.thisTrialN,span_recall_prac.thisN,span_recall_prac.thisIndex,span_size_prac.thisRepN,span_size_prac.thisTrialN,span_size_prac.thisN,span_size_prac.thisIndex,repeat_if_wrong_prac.thisRepN,repeat_if_wrong_prac.thisTrialN,repeat_if_wrong_prac.thisN,repeat_if_wrong_prac.thisIndex,span_recall.thisRepN,span_recall.thisTrialN,span_recall.thisN,span_recall.thisIndex,span_size.thisRepN,span_size.thisTrialN,span_size.thisN,span_size.thisIndex,repeat_if_wrong.thisRepN,repeat_if_wrong.thisTrialN,repeat_if_wrong.thisN,repeat_if_wrong.thisIndex,instructions_2.started,instructions_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text_2.started,text_2.stopped,simple_recall,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,text_feedback.started,text_feedback.stopped,simple_recall_corr,simple_recall_corrkeys,instructions_3.started,instructions_3.stopped,instructions.started,instructions.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,digit_answer,operation.started,operation.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,operation_feedback.started,operation_feedback.stopped,RT_list,instructions_8.started,instructions_8.stopped,feedback_msg.started,feedback_msg.stopped,processing_score,sumRT,meanRT,sumdiff,sd,RT,feedback_msg_2.started,feedback_msg_2.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,instructions_4.started,instructions_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,operation_3.started,operation_3.stopped,key_resp_11.keys,key_resp_11.corr,key_resp_11.rt,key_resp_11.started,key_resp_11.stopped,operation_feedback_2.started,operation_feedback_2.stopped,instructions_9.started,instructions_9.stopped,operation_correct,feedback_msg_4.started,feedback_msg_4.stopped,operation_4.started,operation_4.stopped,text_3.started,text_3.stopped,complex_recall_prac,key_resp_9.keys,key_resp_9.corr,key_resp_9.rt,key_resp_9.started,key_resp_9.stopped,text_feedback_3.started,text_feedback_3.stopped,instructions_6.started,instructions_6.stopped,complex_prac_corr,feedback_msg_3.started,feedback_msg_3.stopped,instructions_7.started,instructions_7.stopped,key_resp_10.keys,key_resp_10.rt,key_resp_10.started,key_resp_10.stopped,operation_2.started,operation_2.stopped,key_resp_7.keys,key_resp_7.corr,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,operation_feedback_3.started,operation_feedback_3.stopped,instructions_10.started,instructions_10.stopped,feedback_msg_5.started,feedback_msg_5.stopped,operation_5.started,operation_5.stopped,text.started,text.stopped,complex_recall,key_resp_8.keys,key_resp_8.corr,key_resp_8.rt,key_resp_8.started,key_resp_8.stopped,text_feedback_2.started,text_feedback_2.stopped,complex_recall_corr,complex_recall_corrkeys,instructions_5.started,instructions_5.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.196672999998555,None,space,51.599079799998435,10.196672999998555,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pilot5,001,2019_Nov_19_1145,test_final,3.1.5,60.02627950524162,
,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.355445000001055,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pilot5,001,2019_Nov_19_1145,test_final,3.1.5,60.02627950524162,
,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.654303499999514,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pilot5,001,2019_Nov_19_1145,test_final,3.1.5,60.02627950524162,
,,,,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.55065090000426,None,xj,"['x', 'j']","[1.3567430000039167, 1.5241161000012653, 2.0490681000010227]",64.95067270000436,None,64.95067270000436,None,1,XJ,64.95067270000436,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pilot5,001,2019_Nov_19_1145,test_final,3.1.5,60.02627950524162,
,,,,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.8493540000054,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pilot5,001,2019_Nov_19_1145,test_final,3.1.5,60.02627950524162,
,,,,2,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.84629820000555,None,zt,"['z', 't']","[0.51875189999555, 0.8586586999954307, 1.126027799997246]",70.16461590000108,None,70.16461590000108,None,1,ZT,70.16461590000108,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pilot5,001,2019_Nov_19_1145,test_final,3.1.5,60.02627950524162,
,,,,2,0,2,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.16174980000505,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pilot5,001,2019_Nov_19_1145,test_final,3.1.5,60.02627950524162,
,,,,2,0,2,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.4605773000003,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pilot5,001,2019_Nov_19_1145,test_final,3.1.5,60.02627950524162,
,,,,3,0,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.38759940000455,None,qxr,"['q', 'x', 'r']","[0.8397085000033258, 1.1083801999993739, 2.1412211999995634, 2.308262200000172, 2.8057115000046906, 3.0893356000015046, 3.307147100000293, 4.078433599999698]",75.75880950000283,None,75.75880950000283,None,1,QXR,75.75880950000283,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pilot5,001,2019_Nov_19_1145,test_final,3.1.5,60.02627950524162,
,,,,3,0,3,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.70345010000165,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pilot5,001,2019_Nov_19_1145,test_final,3.1.5,60.02627950524162,
,,,,3,0,3,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.00229460000264,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pilot5,001,2019_Nov_19_1145,test_final,3.1.5,60.02627950524162,
,,,,4,0,4,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.31545320000441,None,sxj,"['s', 'x', 'j']","[0.7501273000016226, 0.9316614999988815, 1.0905892000009771, 1.4451055999961682]",84.30099190000328,None,84.30099190000328,None,1,SXJ,84.30099190000328,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pilot5,001,2019_Nov_19_1145,test_final,3.1.5,60.02627950524162,
